Function,Category,Subcategory,Informative References,
IDENTIFY (ID),"Asset Management (ID.AM): The data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization’s risk strategy.",ID.AM-1: Physical devices and systems within the organization are inventoried,·       CIS CSC 1,
,,,"·       COBIT 5 BAI09.01, BAI09.02",
,,,·       ISA 62443-2-1:2009 4.2.3.4,
,,,·       ISA 62443-3-3:2013 SR 7.8,
,,,"·       ISO/IEC 27001:2013 A.8.1.1, A.8.1.2",
,,,"·       NIST SP 800-53 Rev. 4 CM-8, PM-5",
,,ID.AM-2: Software platforms and applications within the organization are inventoried,·       CIS CSC 2,
,,,"·       COBIT 5 BAI09.01, BAI09.02, BAI09.05",
,,,·       ISA 62443-2-1:2009 4.2.3.4,
,,,·       ISA 62443-3-3:2013 SR 7.8,
,,,"·       ISO/IEC 27001:2013 A.8.1.1, A.8.1.2, A.12.5.1",
,,,"·       NIST SP 800-53 Rev. 4 CM-8, PM-5",
,,ID.AM-3: Organizational communication and data flows are mapped,·       CIS CSC 12,
,,,·       COBIT 5 DSS05.02,
,,,·       ISA 62443-2-1:2009 4.2.3.4,
,,,"·       ISO/IEC 27001:2013 A.13.2.1, A.13.2.2",
,,,"·       NIST SP 800-53 Rev. 4 AC-4, CA-3, CA-9, PL-8",
,,ID.AM-4: External information systems are catalogued,·       CIS CSC 12,
,,,"·       COBIT 5 APO02.02, APO10.04, DSS01.02",
,,,·       ISO/IEC 27001:2013 A.11.2.6,
,,,"·       NIST SP 800-53 Rev. 4 AC-20, SA-9",
,,"ID.AM-5: Resources (e.g., hardware, devices, data, time, personnel, and software) are prioritized based on their classification, criticality, and business value ","·       CIS CSC 13, 14",
,,,"·       COBIT 5 APO03.03, APO03.04, APO12.01, BAI04.02, BAI09.02",
,,,·       ISA 62443-2-1:2009 4.2.3.6,
,,,·       ISO/IEC 27001:2013 A.8.2.1,
,,,"·       NIST SP 800-53 Rev. 4 CP-2, RA-2, SA-14, SC-6",
,,"ID.AM-6: Cybersecurity roles and responsibilities for the entire workforce and third-party stakeholders (e.g., suppliers, customers, partners) are established","·       CIS CSC 17, 19",
,,,"·       COBIT 5 APO01.02, APO07.06, APO13.01, DSS06.03",
,,,·       ISA 62443-2-1:2009 4.3.2.3.3 ,
,,,·       ISO/IEC 27001:2013 A.6.1.1,
,,,"·       NIST SP 800-53 Rev. 4 CP-2, PS-7, PM-11",
,"Business Environment (ID.BE): The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform cybersecurity roles, responsibilities, and risk management decisions.",ID.BE-1: The organization’s role in the supply chain is identified and communicated,"·       COBIT 5 APO08.01, APO08.04, APO08.05, APO10.03, APO10.04, APO10.05",
,,,"·       ISO/IEC 27001:2013 A.15.1.1, A.15.1.2, A.15.1.3, A.15.2.1, A.15.2.2",
,,,"·       NIST SP 800-53 Rev. 4 CP-2, SA-12",
,,ID.BE-2: The organization’s place in critical infrastructure and its industry sector is identified and communicated,"·       COBIT 5 APO02.06, APO03.01",
,,,·       ISO/IEC 27001:2013 Clause 4.1,
,,,·       NIST SP 800-53 Rev. 4 PM-8,
,,"ID.BE-3: Priorities for organizational mission, objectives, and activities are established and communicated","·       COBIT 5 APO02.01, APO02.06, APO03.01",
,,,"·       ISA 62443-2-1:2009 4.2.2.1, 4.2.3.6",
,,,"·       NIST SP 800-53 Rev. 4 PM-11, SA-14",
,,ID.BE-4: Dependencies and critical functions for delivery of critical services are established,"·       COBIT 5 APO10.01, BAI04.02, BAI09.02",
,,,"·       ISO/IEC 27001:2013 A.11.2.2, A.11.2.3, A.12.1.3",
,,,"·       NIST SP 800-53 Rev. 4 CP-8, PE-9, PE-11, PM-8, SA-14",
,,"ID.BE-5: Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)","·       COBIT 5 BAI03.02, DSS04.02",
,,,"·       ISO/IEC 27001:2013 A.11.1.4, A.17.1.1, A.17.1.2, A.17.2.1",
,,,"·       NIST SP 800-53 Rev. 4 CP-2, CP-11, SA-13, SA-14",
,"Governance (ID.GV): The policies, procedures, and processes to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of cybersecurity risk.",ID.GV-1: Organizational cybersecurity policy is established and communicated,·       CIS CSC 19,
,,,"·       COBIT 5 APO01.03, APO13.01, EDM01.01, EDM01.02",
,,,·       ISA 62443-2-1:2009 4.3.2.6,
,,,·       ISO/IEC 27001:2013 A.5.1.1,
,,,·       NIST SP 800-53 Rev. 4 -1 controls from all security control families ,
,,ID.GV-2: Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,·       CIS CSC 19,
,,,"·       COBIT 5 APO01.02, APO10.03, APO13.02, DSS05.04",
,,,·       ISA 62443-2-1:2009 4.3.2.3.3,
,,,"·       ISO/IEC 27001:2013 A.6.1.1, A.7.2.1, A.15.1.1",
,,,"·       NIST SP 800-53 Rev. 4 PS-7, PM-1, PM-2",
,,"ID.GV-3: Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",·       CIS CSC 19,
,,,"·       COBIT 5 BAI02.01, MEA03.01, MEA03.04",
,,,·       ISA 62443-2-1:2009 4.4.3.7,
,,,"·       ISO/IEC 27001:2013 A.18.1.1, A.18.1.2, A.18.1.3, A.18.1.4, A.18.1.5",
,,,·       NIST SP 800-53 Rev. 4 -1 controls from all security control families,
,,ID.GV-4: Governance and risk management processes address cybersecurity risks,"·       COBIT 5 EDM03.02, APO12.02, APO12.05, DSS04.02",
,,,"·       ISA 62443-2-1:2009 4.2.3.1, 4.2.3.3, 4.2.3.8, 4.2.3.9, 4.2.3.11, 4.3.2.4.3, 4.3.2.6.3",
,,,·       ISO/IEC 27001:2013 Clause 6,
,,,"·       NIST SP 800-53 Rev. 4 SA-2, PM-3, PM-7, PM-9, PM-10, PM-11",
,"Risk Assessment (ID.RA): The organization understands the cybersecurity risk to organizational operations (including mission, functions, image, or reputation), organizational assets, and individuals.",ID.RA-1: Asset vulnerabilities are identified and documented,·       CIS CSC 4,
,,,"·       COBIT 5 APO12.01, APO12.02, APO12.03, APO12.04, DSS05.01, DSS05.02",
,,,"·       ISA 62443-2-1:2009 4.2.3, 4.2.3.7, 4.2.3.9, 4.2.3.12",
,,,"·       ISO/IEC 27001:2013 A.12.6.1, A.18.2.3",
,,,"·       NIST SP 800-53 Rev. 4 CA-2, CA-7, CA-8, RA-3, RA-5, SA-5, SA-11, SI-2, SI-4, SI-5",
,,ID.RA-2: Cyber threat intelligence is received from information sharing forums and sources,·       CIS CSC 4,
,,,·       COBIT 5 BAI08.01,
,,,"·       ISA 62443-2-1:2009 4.2.3, 4.2.3.9, 4.2.3.12",
,,,·       ISO/IEC 27001:2013 A.6.1.4,
,,,"·       NIST SP 800-53 Rev. 4 SI-5, PM-15, PM-16",
,,"ID.RA-3: Threats, both internal and external, are identified and documented",·       CIS CSC 4,
,,,"·       COBIT 5 APO12.01, APO12.02, APO12.03, APO12.04",
,,,"·       ISA 62443-2-1:2009 4.2.3, 4.2.3.9, 4.2.3.12",
,,,·       ISO/IEC 27001:2013 Clause 6.1.2,
,,,"·       NIST SP 800-53 Rev. 4 RA-3, SI-5, PM-12, PM-16",
,,ID.RA-4: Potential business impacts and likelihoods are identified,·       CIS CSC 4,
,,,·       COBIT 5 DSS04.02,
,,,"·       ISA 62443-2-1:2009 4.2.3, 4.2.3.9, 4.2.3.12",
,,,"·       ISO/IEC 27001:2013 A.16.1.6, Clause 6.1.2",
,,,"·       NIST SP 800-53 Rev. 4 RA-2, RA-3, SA-14, PM-9, PM-11",
,,"ID.RA-5: Threats, vulnerabilities, likelihoods, and impacts are used to determine risk",·       CIS CSC 4,
,,,·       COBIT 5 APO12.02,
,,,·       ISO/IEC 27001:2013 A.12.6.1,
,,,"·       NIST SP 800-53 Rev. 4 RA-2, RA-3, PM-16",
,,ID.RA-6: Risk responses are identified and prioritized,·       CIS CSC 4,
,,,"·       COBIT 5 APO12.05, APO13.02",
,,,·       ISO/IEC 27001:2013 Clause 6.1.3,
,,,"·       NIST SP 800-53 Rev. 4 PM-4, PM-9",
,"Risk Management Strategy (ID.RM): The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions.","ID.RM-1: Risk management processes are established, managed, and agreed to by organizational stakeholders",·       CIS CSC 4,
,,,"·       COBIT 5 APO12.04, APO12.05, APO13.02, BAI02.03, BAI04.02 ",
,,,·       ISA 62443-2-1:2009 4.3.4.2,
,,,"·       ISO/IEC 27001:2013 Clause 6.1.3, Clause 8.3, Clause 9.3",
,,,·       NIST SP 800-53 Rev. 4 PM-9,
,,ID.RM-2: Organizational risk tolerance is determined and clearly expressed,·       COBIT 5 APO12.06,
,,,·       ISA 62443-2-1:2009 4.3.2.6.5,
,,,"·       ISO/IEC 27001:2013 Clause 6.1.3, Clause 8.3",
,,,·       NIST SP 800-53 Rev. 4 PM-9,
,,ID.RM-3: The organization’s determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,·       COBIT 5 APO12.02,
,,,"·       ISO/IEC 27001:2013 Clause 6.1.3, Clause 8.3",
,,,"·       NIST SP 800-53 Rev. 4 SA-14, PM-8, PM-9, PM-11",
,"Supply Chain Risk Management (ID.SC):
The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing supply chain risk. The organization has established and implemented the processes to identify, assess and manage supply chain risks.","ID.SC-1: Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders",·       CIS CSC 4,
,,,"·       COBIT 5 APO10.01, APO10.04, APO12.04, APO12.05, APO13.02, BAI01.03, BAI02.03, BAI04.02",
,,,·       ISA 62443-2-1:2009 4.3.4.2,
,,,"·       ISO/IEC 27001:2013 A.15.1.1, A.15.1.2, A.15.1.3, A.15.2.1, A.15.2.2",
,,,"·       NIST SP 800-53 Rev. 4 SA-9, SA-12, PM-9",
,,"ID.SC-2: Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process ","·       COBIT 5 APO10.01, APO10.02, APO10.04, APO10.05, APO12.01, APO12.02, APO12.03, APO12.04, APO12.05, APO12.06, APO13.02, BAI02.03",
,,,"·       ISA 62443-2-1:2009 4.2.3.1, 4.2.3.2, 4.2.3.3, 4.2.3.4, 4.2.3.6, 4.2.3.8, 4.2.3.9, 4.2.3.10, 4.2.3.12, 4.2.3.13, 4.2.3.14",
,,,"·       ISO/IEC 27001:2013 A.15.2.1, A.15.2.2",
,,,"·       NIST SP 800-53 Rev. 4 RA-2, RA-3, SA-12, SA-14, SA-15, PM-9",
,,ID.SC-3: Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization’s cybersecurity program and Cyber Supply Chain Risk Management Plan.,"·       COBIT 5 APO10.01, APO10.02, APO10.03, APO10.04, APO10.05",
,,,"·       ISA 62443-2-1:2009 4.3.2.6.4, 4.3.2.6.7",
,,,"·       ISO/IEC 27001:2013 A.15.1.1, A.15.1.2, A.15.1.3",
,,,"·       NIST SP 800-53 Rev. 4 SA-9, SA-11, SA-12, PM-9",
,,"ID.SC-4: Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations.","·       COBIT 5 APO10.01, APO10.03, APO10.04, APO10.05, MEA01.01, MEA01.02, MEA01.03, MEA01.04, MEA01.05 ",
,,,·       ISA 62443-2-1:2009 4.3.2.6.7,
,,,·       ISA 62443-3-3:2013 SR 6.1,
,,,"·       ISO/IEC 27001:2013 A.15.2.1, A.15.2.2",
,,,"·       NIST SP 800-53 Rev. 4 AU-2, AU-6, AU-12, AU-16, PS-7, SA-9, SA-12",
,,ID.SC-5: Response and recovery planning and testing are conducted with suppliers and third-party providers,"·       CIS CSC 19, 20",
,,,·       COBIT 5 DSS04.04,
,,,"·       ISA 62443-2-1:2009 4.3.2.5.7, 4.3.4.5.11 ",
,,,"·       ISA 62443-3-3:2013 SR 2.8, SR 3.3, SR.6.1, SR 7.3, SR 7.4",
,,,·       ISO/IEC 27001:2013 A.17.1.3 ,
,,,"·       NIST SP 800-53 Rev. 4 CP-2, CP-4, IR-3, IR-4, IR-6, IR-8, IR-9",
